                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.77375,                 1.2563,                0.78968,                0.93126,                0.88898,                0.97075,                0.95865,                0.85418,                0.88415,                0.96592,                0.95439,                0.76695,                0.52368,                0.54055,                0.50295,                0.83668,               0.009736,               0.009736,               0.009736
                     82,                0.76007,                  1.206,                0.76135,                0.93085,                0.92269,                 0.9733,                 0.9581,                0.86095,                0.92389,                0.97234,                0.95145,                0.75086,                0.50614,                0.54862,                0.49051,                0.83638,              0.0097327,              0.0097327,              0.0097327
                     83,                0.78541,                 1.2524,                0.75584,                 0.9311,                0.90436,                 0.9616,                0.96217,                0.84964,                0.90218,                0.95832,                0.95261,                0.73594,                0.52909,                0.63029,                0.54254,                0.83703,              0.0097294,              0.0097294,              0.0097294
                     84,                0.77284,                 1.2528,                0.76588,                0.92745,                0.85719,                0.96712,                0.95306,                0.86181,                0.84963,                0.95955,                0.94293,                0.73331,                0.48885,                0.58065,                0.50418,                 0.8379,              0.0097261,              0.0097261,              0.0097261
                     85,                0.76286,                  1.192,                0.75218,                 0.9233,                 0.9094,                0.96145,                0.96379,                0.83939,                0.90202,                0.94956,                0.95369,                0.75287,                0.58376,                0.56993,                0.51126,                0.85883,              0.0097228,              0.0097228,              0.0097228
                     86,                0.76305,                 1.2516,                0.75228,                0.92887,                0.92034,                  0.952,                0.96024,                0.85597,                0.92034,                  0.952,                0.95068,                0.75847,                0.53905,                0.56758,                0.52855,                0.84601,              0.0097195,              0.0097195,              0.0097195
                     87,                0.78259,                 1.2797,                0.74409,                0.93147,                0.89147,                0.96395,                0.95269,                0.85513,                 0.8871,                0.95958,                 0.9445,                0.74423,                0.54263,                0.57318,                0.51738,                0.84657,              0.0097162,              0.0097162,              0.0097162
                     88,                0.76783,                 1.2317,                0.80333,                0.93491,                0.92466,                0.96817,                0.96419,                0.86001,                 0.9256,                0.96566,                 0.9549,                0.76322,                0.53186,                0.57435,                0.50896,                0.84181,              0.0097129,              0.0097129,              0.0097129
                     89,                 0.7635,                 1.2418,                0.73617,                0.93003,                0.91317,                0.95607,                0.95492,                0.86187,                0.91317,                0.95607,                0.95492,                0.73007,                0.50879,                 0.5931,                0.52369,                0.83433,              0.0097096,              0.0097096,              0.0097096
                     90,                0.76116,                 1.2177,                0.78628,                0.93546,                0.91609,                0.97196,                0.95286,                0.85824,                0.91508,                0.96828,                0.94342,                0.74865,                0.50584,                0.56577,                0.48565,                0.83809,              0.0097063,              0.0097063,              0.0097063
                     91,                0.76707,                 1.2525,                0.77595,                0.93445,                0.90822,                0.95801,                0.95803,                0.84329,                0.91417,                0.95019,                0.94744,                0.76038,                0.53391,                0.59576,                   0.55,                0.84731,               0.009703,               0.009703,               0.009703
                     92,                0.74311,                 1.1962,                0.76857,                0.92343,                0.91351,                0.97908,                 0.9581,                0.84505,                0.90984,                0.97377,                0.94923,                0.76919,                0.53937,                0.63796,                0.50545,                0.84749,              0.0096997,              0.0096997,              0.0096997
                     93,                0.74239,                 1.2102,                0.72751,                0.92693,                 0.8773,                0.98085,                0.95273,                0.84375,                0.86419,                0.96774,                0.93513,                0.74808,                0.51859,                0.57713,                 0.5114,                0.84207,              0.0096964,              0.0096964,              0.0096964
