                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.6474,                  1.205,                0.53799,                0.91169,                0.96554,                0.98381,                0.97697,                0.89196,                0.96493,                0.98038,                0.97156,                0.71024,                0.41323,                0.64043,                0.27278,                 0.8046,              0.0097492,              0.0097492,              0.0097492
                     78,                0.64533,                 1.2119,                0.53582,                0.90709,                0.96934,                0.98582,                0.97786,                0.90175,                0.96246,                0.97268,                0.96601,                0.70903,                0.40316,                0.62456,                0.27116,                0.80147,              0.0097459,              0.0097459,              0.0097459
                     79,                0.65077,                 1.2078,                0.52641,                0.91388,                0.96708,                0.97902,                 0.9836,                0.90472,                0.96312,                0.97111,                0.97765,                 0.7218,                0.41757,                0.63519,                0.27312,                0.80248,              0.0097426,              0.0097426,              0.0097426
                     80,                0.64121,                 1.1783,                0.54003,                0.91211,                0.96358,                0.98229,                0.98105,                0.90191,                0.95705,                0.96793,                0.96979,                0.71897,                0.41616,                0.63136,                0.27512,                0.80065,              0.0097393,              0.0097393,              0.0097393
                     81,                0.63644,                 1.1646,                 0.5318,                0.90318,                0.96123,                0.98505,                0.97885,                0.89581,                 0.9594,                0.98095,                0.97163,                0.71071,                0.41866,                0.64193,                0.26774,                0.80275,               0.009736,               0.009736,               0.009736
                     82,                0.63684,                 1.1706,                0.50806,                0.90556,                0.96596,                0.98209,                0.98085,                0.90373,                0.96198,                0.97805,                0.97548,                0.71448,                0.41408,                0.65008,                0.27385,                0.80215,              0.0097327,              0.0097327,              0.0097327
                     83,                0.63763,                 1.1698,                0.51336,                0.90508,                0.97015,                 0.9811,                0.98393,                0.91262,                0.96264,                0.97384,                0.97828,                0.71425,                0.39836,                0.63957,                0.26527,                0.80054,              0.0097294,              0.0097294,              0.0097294
                     84,                0.63309,                 1.1854,                0.51006,                0.90305,                0.97263,                0.98343,                0.98083,                0.90221,                0.96867,                 0.9794,                 0.9779,                0.72345,                0.40324,                0.64857,                0.26248,                0.80065,              0.0097261,              0.0097261,              0.0097261
                     85,                0.62332,                 1.1564,                0.51796,                0.90474,                0.96796,                0.98326,                0.98367,                0.90265,                0.96305,                0.97275,                0.97521,                0.72811,                0.40978,                0.64454,                0.26606,                0.80218,              0.0097228,              0.0097228,              0.0097228
                     86,                0.63756,                 1.1698,                0.52468,                0.90591,                0.96864,                0.98292,                0.98776,                0.90548,                0.96283,                0.97462,                0.97671,                0.73502,                0.40165,                0.63648,                0.26559,                0.80159,              0.0097195,              0.0097195,              0.0097195
                     87,                0.63217,                 1.1649,                0.51459,                0.90598,                0.95914,                0.98538,                0.98104,                0.90013,                0.96262,                0.96285,                0.97022,                0.72272,                0.40651,                 0.6293,                0.26255,                0.80166,              0.0097162,              0.0097162,              0.0097162
                     88,                0.62163,                 1.1319,                0.51398,                0.89837,                0.97133,                0.98048,                0.98276,                0.90555,                0.96619,                 0.9673,                0.97014,                0.72044,                0.39762,                0.63087,                 0.2586,                0.79969,              0.0097129,              0.0097129,              0.0097129
                     89,                0.63106,                 1.1682,                0.50352,                 0.9063,                 0.9743,                0.98274,                0.98081,                0.90293,                0.96573,                0.97229,                0.96652,                0.70525,                0.39749,                0.64308,                0.26124,                0.79939,              0.0097096,              0.0097096,              0.0097096
                     90,                0.62061,                 1.1602,                0.50818,                0.90302,                0.96987,                0.98771,                 0.9779,                0.89831,                0.96324,                0.97756,                0.96884,                0.72054,                 0.3968,                0.63685,                0.25832,                0.80069,              0.0097063,              0.0097063,              0.0097063
                     91,                0.61176,                 1.1388,                0.51255,                0.90054,                0.97282,                0.98627,                 0.9798,                0.90212,                0.96519,                0.97749,                0.97051,                0.70486,                0.39225,                0.64321,                0.25991,                0.80021,               0.009703,               0.009703,               0.009703
                     92,                0.62065,                 1.1412,                0.50471,                 0.9028,                0.97001,                0.98075,                0.98183,                0.90248,                0.96566,                0.97455,                0.97267,                0.71713,                0.39989,                0.62563,                0.26639,                0.80213,              0.0096997,              0.0096997,              0.0096997
                     93,                0.63004,                 1.1623,                0.50538,                0.90175,                 0.9681,                0.98622,                0.97949,                0.89948,                0.96182,                0.97652,                0.97039,                 0.7164,                0.39316,                0.61679,                0.26275,                0.79951,              0.0096964,              0.0096964,              0.0096964
